model,variant,total,raw_correct,raw_accuracy,evaluated,correct,accuracy,common_evaluated,common_correct,common_accuracy,invalid,length_excluded,retention_vs_native,agreement_with_native,agreement_with_llama,delta_vs_native_pp,delta_vs_llama_pp,average_response_seconds
Ornith 1.5 9B,llama-reference,100,78,0.7800,100,78,0.7800,99,77,0.7778,0,0,0.9900,0.9091,1.0000,-0.79,0.00,0.574
Ornith 1.5 9B,mode1,100,78,0.7800,100,78,0.7800,99,77,0.7778,0,0,0.9900,0.9091,1.0000,-0.79,0.00,0.546
Ornith 1.5 9B,mode2,100,78,0.7800,100,78,0.7800,99,77,0.7778,0,0,0.9900,0.9091,1.0000,-0.79,0.00,0.574
Ornith 1.5 9B,mode3,100,77,0.7700,100,77,0.7700,99,76,0.7677,0,0,0.9773,0.8687,0.8800,-1.79,-1.00,0.568
Ornith 1.5 9B,native,100,79,0.7900,99,78,0.7879,99,78,0.7879,0,1,1.0000,1.0000,0.9091,0.00,0.79,1.499
Qwen3.5 4B,llama-reference,100,73,0.7300,100,73,0.7300,98,71,0.7245,0,0,1.0735,0.8600,1.0000,5.00,0.00,0.392
Qwen3.5 4B,mode1,100,72,0.7200,100,72,0.7200,98,70,0.7143,0,0,1.0588,0.8000,0.9200,4.00,-1.00,0.381
Qwen3.5 4B,mode2,100,72,0.7200,100,72,0.7200,98,70,0.7143,0,0,1.0588,0.8000,0.9200,4.00,-1.00,0.374
Qwen3.5 4B,mode3,100,70,0.7000,98,70,0.7143,98,70,0.7143,1,2,1.0504,0.7857,0.8878,3.43,-1.57,0.427
Qwen3.5 4B,native,100,68,0.6800,100,68,0.6800,98,66,0.6735,0,0,1.0000,1.0000,0.8600,0.00,-5.00,0.343
Qwen3.8 27B,llama-reference,100,87,0.8700,100,87,0.8700,100,87,0.8700,0,0,0.9775,0.9700,1.0000,-2.00,0.00,1.949
Qwen3.8 27B,mode1,100,87,0.8700,100,87,0.8700,100,87,0.8700,1,0,0.9775,0.9495,0.9596,-2.00,0.00,1.819
Qwen3.8 27B,mode2,100,88,0.8800,100,88,0.8800,100,88,0.8800,1,0,0.9888,0.9798,0.9697,-1.00,1.00,1.851
Qwen3.8 27B,mode3,100,82,0.8200,100,82,0.8200,100,82,0.8200,4,0,0.9213,0.9167,0.9271,-7.00,-5.00,1.700
Qwen3.8 27B,native,100,89,0.8900,100,89,0.8900,100,89,0.8900,0,0,1.0000,1.0000,0.9700,0.00,2.00,1.701
