model,runtime,variant,format,quantization,model_disk_gib,conversion_cache_gib,peak_process_rss_gib,average_active_rss_gib,median_server_tokens_per_second,median_wall_tokens_per_second,average_request_seconds,average_completion_tokens,runs,warmups,raw_correct,raw_total,raw_accuracy,quality_correct,quality_evaluated,quality_accuracy,common_correct,common_evaluated,common_accuracy,invalid,length_excluded,quality_retention_vs_native
Ornith 1.5 9B,llama.cpp+GGUF,llama-reference,GGUF Q4_K_M,Native GGUF blocks,5.383,0.000,5.850,5.809,34.962570778558636,34.270,3.739,128.0,3,1,78,100,0.7800,78,100,0.7800,77,99,0.7778,0,0,0.9900
Ornith 1.5 9B,MLX+GGUF,mode1,GGUF Q4_K_M,mode1 / source-aware passthrough / auto group / recurrent controls,5.383,5.759,1.752,1.750,37.279015741776647,34.806,3.681,128.0,3,1,78,100,0.7800,78,100,0.7800,77,99,0.7778,0,0,0.9900
Ornith 1.5 9B,MLX+GGUF,mode2,GGUF Q4_K_M,mode2 / INT8 group 64 / recurrent controls,5.383,8.682,1.254,1.253,27.335206185779597,25.926,4.938,128.0,3,1,78,100,0.7800,78,100,0.7800,77,99,0.7778,0,0,0.9900
Ornith 1.5 9B,MLX+GGUF,mode3,GGUF Q4_K_M,mode3 / INT4 group 32 / recurrent controls,5.383,4.871,2.055,2.020,43.177048478533777,39.935,3.202,128.0,3,1,77,100,0.7700,77,100,0.7700,76,99,0.7677,0,0,0.9773
Ornith 1.5 9B,MLX,native,MLX Safetensors,Affine 4-bit group 64,4.711,0.000,4.882,4.881,48.438081540531741,44.358,2.885,128.0,3,1,79,100,0.7900,78,99,0.7879,78,99,0.7879,0,1,1.0000
Qwen3.5 4B,llama.cpp+GGUF,llama-reference,GGUF Q4_0,Native GGUF blocks,2.406,0.000,3.058,3.017,57.164333956739654,56.126,2.278,128.0,3,1,73,100,0.7300,73,100,0.7300,71,98,0.7245,0,0,1.0735
Qwen3.5 4B,MLX+GGUF,mode1,GGUF Q4_0,mode1 / source-aware passthrough / auto group / recurrent controls,2.406,2.539,0.769,0.681,71.37575574953955,66.355,1.929,128.0,3,1,72,100,0.7200,72,100,0.7200,70,98,0.7143,0,0,1.0588
Qwen3.5 4B,MLX+GGUF,mode2,GGUF Q4_0,mode2 / INT8 group 64 / recurrent controls,2.406,2.539,0.782,0.688,71.300930933291966,66.303,1.930,128.0,3,1,72,100,0.7200,72,100,0.7200,70,98,0.7143,0,0,1.0588
Qwen3.5 4B,MLX+GGUF,mode3,GGUF Q4_0,mode3 / INT4 group 32 / recurrent controls,2.406,2.293,1.241,1.064,75.136683257159262,69.575,1.840,128.0,3,1,70,100,0.7000,70,98,0.7143,70,98,0.7143,1,2,1.0504
Qwen3.5 4B,MLX,native,MLX Safetensors,Affine 4-bit group 64,2.851,0.000,2.394,2.393,81.60949390707809,74.953,1.709,128.0,3,1,68,100,0.6800,68,100,0.6800,66,98,0.6735,0,0,1.0000
Qwen3.8 27B,llama.cpp+GGUF,llama-reference,GGUF UD-Q4_K_M mixed,Native GGUF blocks,15.334,0.000,16.377,16.260,10.184477781278636,9.978,12.964,128.0,3,1,87,100,0.8700,87,100,0.8700,87,100,0.8700,0,0,0.9775
Qwen3.8 27B,MLX+GGUF,mode1,GGUF UD-Q4_K_M mixed,mode1 / source-aware passthrough / auto group / recurrent controls,15.334,22.708,5.844,5.400,9.1417724962067428,8.647,14.926,128.0,3,1,87,100,0.8700,87,100,0.8700,87,100,0.8700,1,0,0.9775
Qwen3.8 27B,MLX+GGUF,mode2,GGUF UD-Q4_K_M mixed,mode2 / INT8 group 64 / recurrent controls,15.334,25.972,5.216,4.102,8.3433725804423791,7.924,16.229,128.0,3,1,88,100,0.8800,88,100,0.8800,88,100,0.8800,1,0,0.9888
Qwen3.8 27B,MLX+GGUF,mode3,GGUF UD-Q4_K_M mixed,mode3 / INT4 group 32 / recurrent controls,15.334,14.603,6.377,4.323,13.481729251893869,12.480,10.255,128.0,3,1,82,100,0.8200,82,100,0.8200,82,100,0.8200,4,0,0.9213
Qwen3.8 27B,MLX,native,MLX Safetensors,Affine 4-bit group 64,14.977,0.000,14.291,14.291,15.088249175040621,13.844,9.252,128.0,3,1,89,100,0.8900,89,100,0.8900,89,100,0.8900,0,0,1.0000
